"","gene_counts","ave_change_3_to_4_direction_conserved_in_8_of_8"
"1","COG1529","1.10665269197698"
"2","NOG128928","0.115861213624739"
"3","NOG145592","0.252850169185742"
"4","COG3411","0.161302699699929"
"5","COG1921","0.14023073567396"
"6","bactNOG24565","0.257585133613256"
"7","NOG313944","0.0324180085780484"
"8","COG0010","0.374897598463113"
"9","COG1118","0.283508268232044"
"10","COG2258","0.164663766414381"
"11","COG2172","0.300876488088956"
"12","COG5484","0.0620654444155014"
"13","COG1319","0.696358907759437"
"14","COG5464","0.736626353761334"
"15","COG1975","0.783160928731409"
"16","NOG304792","0.346289334308823"
"17","COG2610","0.280052685104615"
"18","COG0372","1.00450786491994"
"19","COG2193","1.49249602092328"
"20","COG1671","0.0902450784770003"
"21","bactNOG10707","0.103722655453876"
"22","bactNOG04413","0.018001319654988"
"23","COG3284","0.0475396070955118"
"24","COG5635","0.576974336565146"
"25","COG2897","0.193502924618774"
"26","NOG125361","0.0807679383974508"
"27","COG0631","0.393802661471345"
"28","NOG41625","-0.880757941898318"
"29","NOG296986","-0.100100870585144"
"30","COG0432","-0.345047740992563"
"31","COG2876","-0.60997460845779"
"32","COG3382","-0.557728349435026"
"33","NOG120337","-0.0711148252248759"
"34","COG1266","-0.288927036350435"
"35","COG1261","-0.0352472450621091"
"36","NOG305663","-0.303395959434621"
"37","NOG72632","-0.942518223049244"
"38","NOG40735","-0.592165136860828"
"39","NOG133113","-1.00240263740239"
"40","NOG12396","-0.243734993695845"
"41","COG1126","-0.676263225870816"
"42","COG2166","-0.765834039135615"
"43","NOG139198","-0.282477671381368"
"44","NOG43132","-0.619130411771546"
"45","NOG81965","-0.258083464280424"
"46","bactNOG44310","-0.521617057669717"
"47","NOG281561","-0.568061285912293"
"48","NOG114340","-0.560468593643871"
"49","NOG241943","-0.111431929311559"
"50","NOG298423","-0.0519661089517591"
"51","NOG79778","-0.18945306224139"
"52","NOG69469","-0.401426888473721"
"53","COG1183","-0.520039673504705"
"54","NOG80701","-0.811850215799201"
"55","NOG45794","-1.02042103823056"
"56","COG0775","-0.645382592066108"
"57","COG4466","-1.26737999266582"
"58","NOG83653","-0.615773098191015"
"59","NOG146407","-0.599273374543573"
"60","NOG78566","-0.943631180541213"
"61","NOG129312","-0.0847886905591882"
"62","NOG70568","-0.912520415729355"
"63","COG0347","-0.317387331187955"
"64","NOG69611","-0.0472893544046665"
"65","NOG308850","-0.0656170281626594"
"66","NOG117241","-0.640538632462672"
"67","NOG86848","-1.01354177380633"
"68","NOG05556","-0.756219913741469"
"69","COG0537","-0.44388822273984"
"70","COG1067","-0.384865800496953"
"71","NOG44366","-0.215704835049752"
"72","NOG296911","-0.0859808988072446"
"73","NOG308082","-0.618560795335356"
"74","COG3292","-1.32941346803678"
"75","NOG115912","-0.249420083208893"
"76","NOG133247","-0.0301494200485888"
"77","NOG87058","-0.0153917968987981"
"78","COG1043","-0.792461399572621"
"79","COG0054","-0.778375604246754"
"80","COG1455","-1.31403416851494"
"81","NOG301086","-0.132919013010829"
"82","NOG136220","-1.15751207667173"
"83","COG0267","-1.11188241459279"
"84","COG3550","-0.614273430999081"
"85","NOG277473","-0.180843986126464"
"86","NOG307088","-0.276053665080402"
"87","COG1816","-0.569461574206216"
"88","NOG277117","-0.407460906747014"
"89","bactNOG01527","-0.0597836783698907"
"90","NOG82270","-1.20381918587318"
"91","NOG301486","-0.0853427665020514"
"92","NOG38873","-1.34829640330897"
"93","NOG76948","-0.158996345321386"
"94","COG0545","-1.33447990328772"
"95","NOG301677","-0.0249409169002339"
"96","NOG237262","-0.0760924927861274"
"97","NOG43459","-0.358372298889165"
"98","COG0222","-1.04667338368329"
"99","COG1573","-0.456470540507399"
"100","COG0483","-0.631732208274637"
"101","NOG84105","-1.2885785780926"
"102","NOG295629","-1.323645195328"
"103","NOG316865","-1.63364297502375"
"104","NOG82572","-1.33896915358439"
"105","NOG237022","-0.0830941558331093"
"106","NOG45681","-0.28737997825948"
"107","COG3671","-0.145143945447161"
"108","COG1212","-0.425022559661333"
"109","COG3323","-0.0429389423064975"
"110","bactNOG17549","-1.23740122439855"
"111","NOG121529","-2.00059819107633"
"112","COG0607","-0.79139832854917"
"113","COG0603","-0.400592651617602"
"114","NOG150859","-0.0508199345850775"
"115","NOG257599","-0.134945271665701"
"116","NOG287781","-0.141686092529171"
"117","COG3657","-0.129791114319625"
"118","COG2065","-0.648900531636869"
"119","NOG115648","-0.138631441223593"
"120","NOG310647","-1.42671180498017"
"121","COG1397","-0.414023454569953"
"122","NOG256992","-0.0770742632608857"
"123","COG1259","-0.696203170922251"
"124","NOG277766","-0.213880723802436"
"125","COG0390","-0.383939615825441"
"126","NOG69570","-1.47279400727046"
"127","NOG146649","-1.45466135207089"
"128","COG1119","-0.520602241241968"
"129","NOG137956","-0.424113752944783"
"130","bactNOG59134","-0.0820736826763797"
"131","NOG260492","-0.660586229631013"
"132","COG0664","-0.577324666375982"
"133","NOG130809","-0.0665008668437025"
"134","COG3182","-0.190360858755638"
"135","COG2011","-0.24260254757138"
"136","COG4942","-0.657125783381595"
"137","NOG81325","-1.21407495282843"
"138","NOG11172","-0.326127484612164"
"139","NOG69351","-0.583193356245709"
"140","NOG13288","-1.42238527375881"
"141","COG2173","-0.259908435251497"
"142","COG2177","-0.343772945185227"
"143","NOG80758","-0.453575409918029"
"144","NOG05973","-0.181607625182527"
"145","bactNOG02019","-0.0441924489160159"
"146","bactNOG32905","-0.219784781721299"
"147","COG0782","-0.750618824948911"
"148","COG0788","-0.694190235467467"
"149","bactNOG98918","-0.0291143084782812"
"150","COG3423","-0.0418587195251586"
"151","NOG256626","-0.10668263343686"
"152","COG0313","-0.894491410530822"
"153","COG1373","-0.554102364514907"
"154","NOG318153","-0.0101398148449056"
"155","NOG255725","-0.894859394137951"
"156","NOG39374","-0.723911091140745"
"157","NOG71506","-0.0732578322069802"
"158","COG0767","-0.695340680808494"
"159","COG0765","-0.521918424971233"
"160","COG0103","-0.835579490256896"
"161","COG0105","-0.96934100066566"
"162","NOG75614","-0.738511716324276"
"163","NOG321015","-1.43910564801312"
"164","NOG130506","-0.90428787478255"
"165","NOG260223","-1.14443172733385"
"166","COG0590","-0.726641474911112"
"167","COG2197","-0.513829414499361"
"168","COG0292","-0.797093685589748"
"169","COG0291","-0.733021393380416"
"170","NOG247168","-1.08819101513687"
"171","NOG47296","-0.651863889999417"
"172","NOG126496","-0.348861729916619"
"173","bactNOG06254","-0.104582199220906"
"174","NOG137526","-0.974848345577457"
"175","NOG40667","-0.755140406624133"
"176","bactNOG01451","-0.0324422332425826"
"177","COG0334","-0.680105732737054"
"178","NOG319847","-0.187531065263632"
"179","COG1464","-0.665753552487559"
"180","COG0705","-0.822298139524504"
"181","NOG40024","-0.741432765641119"
"182","NOG305908","-0.0343175029489758"
"183","COG1447","-0.83447699604987"
"184","COG1440","-0.882178278270071"
"185","bactNOG00813","-0.2006582629443"
"186","COG1051","-1.1378338179772"
"187","NOG84140","-0.390777864867261"
"188","COG0518","-0.465903054718423"
"189","NOG139179","-0.0338841213051399"
"190","NOG146836","-0.629067392989257"
"191","NOG315539","-0.421471017997551"
"192","NOG76492","-0.0623695896705328"
"193","NOG46654","-0.426712371686694"
"194","COG0238","-0.705724870756097"
"195","bactNOG64070","-0.140933899335597"
"196","NOG11253","-0.0168807938836942"
"197","NOG70307","-0.868760533988387"
"198","NOG47825","-0.535825357671868"
"199","NOG118000","-0.240451157695674"
"200","NOG12205","-1.04406840417714"
"201","NOG127182","-0.0922774570366141"
"202","bactNOG28740","-0.369396397786451"
"203","NOG69061","-0.839771094401463"
"204","bactNOG74454","-0.0230179063805152"
"205","NOG85718","-0.0613002590851282"
"206","NOG253160","-0.337296124601438"
"207","COG4649","-0.0467889453979029"
"208","COG2948","-0.0389734302166455"
"209","NOG145495","-0.0334220594312048"
"210","NOG74207","-0.0210855103998141"
"211","bactNOG01721","-0.014332334652804"
