"","genus","ave_change_3_to_5_direction_conserved_in_8_of_8"
"1","Rhodococcus","0.424068014803941"
"2","Anaeromyxobacter","0.300916596588699"
"3","Geobacter","0.266031480032039"
"4","Riemerella","0.239532243005165"
"5","Ehrlichia","0.307670094005022"
"6","Enterobacter","0.331498362668698"
"7","Enterovibrio","0.0589166677666234"
"8","Mycobacterium","0.266394484911465"
"9","Serratia","0.394272170909245"
"10","Rhodopseudomonas","0.454123877268753"
"11","Candidatus_Accumulibacter","0.427747754761464"
"12","Fluoribacter","0.0909059628423764"
"13","Teredinibacter","-0.535480030006281"
"14","Heliobacterium","-0.4772778601832"
"15","Cellvibrio","-0.296911709318936"
"16","Thermoplasma","-0.0815173093808579"
"17","Thermotoga","-0.303239295942948"
"18","Thermosynechococcus","-0.272613215392747"
"19","Symbiobacterium","-0.550389618723273"
"20","Clostridium","-0.53310116445405"
"21","Ruminococcus","-0.428624170626281"
"22","Finegoldia","-0.385160648773562"
"23","Alkaliphilus","-0.655539032882473"
"24","Roseiflexus","-0.300877609062468"
"25","Sanguibacter","-0.404152891111766"
"26","Desulfotomaculum","-0.507493060735536"
"27","Thiomicrospira","-0.85211578340015"
"28","Fusobacterium","-0.342036294585199"
"29","Coprococcus","-0.751378082210845"
"30","Natranaerobius","-0.425989729341831"
"31","Halothermothrix","-0.287889960950541"
"32","Brevibacillus","-0.422093284397012"
"33","Aeribacillus","-0.0719740706318215"
