"","species","ave_change_3_to_4_direction_conserved_in_8_of_8"
"1","Picrophilus_torridus","0.142250557306433"
"2","Lactobacillus_pontis","0.0721957994913403"
"3","Clostridium_saccharobutylicum","0.928206012783491"
"4","Clostridium_magnum","0.0693949528812542"
"5","Chlorobium_chlorochromatii","-0.406503551784945"
"6","Mannheimia_succiniciproducens","-1.16167865844328"
"7","Porphyromonas_asaccharolytica","-0.38563226965497"
"8","Methanospirillum_hungatei","-0.399242280454305"
"9","Salinispora_arenicola","-0.39962504727655"
"10","Salinibacter_ruber","-0.399777791896827"
"11","Vibrio_harveyi","-0.596368425171746"
"12","Acinetobacter_sp._ADP1","-0.504340108418626"
"13","Chlorobaculum_parvum","-0.30889160387872"
"14","Aggregatibacter_actinomycetemcomitans","-0.447566673752256"
